id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,stats,tags,description
7218199,65554014,Musée Vert Véron-de-Forbonnais,204,Avenue Jean Jaurès,72100,Le Mans,France,fr,open,47.98672035,0.20791745340231066,,,,2002,payant:6221;gratuit:5354,label:musee de france,
8501201,,Ecomusée du Marais Breton Vendéen,,,,LA BARRE-DE-MONTS,France,fr,open,,,,,,2002,payant:19911;gratuit:10734,label:musee de france,
8504601,3790252198,Musée ornithologique Charles-Payraudeau,,Rue des Noyers,85310,La Chaize-le-Vicomte,France,fr,open,46.6720342,-1.2970252,,,,2002,payant:0;gratuit:592,label:musee de france,
8519401,1793366945,Musée de l'Abbaye de Sainte-Croix,,Rue de Verdun,85100,Les Sables-d'Olonne,France,fr,open,46.4969604,-1.7770051,,,,2002,payant:4410;gratuit:10635,label:musee de france,
8516302,5624961822,Musée du Château,,Place d'Armes,85330,Noirmoutier-en-l'Île,France,fr,open,47.0004648,-2.2421269,,,,2002,payant:44668;gratuit:805,label:musee de france,
0216801,5425520722,Musée Jean de la Fontaine,,Rue Jean De La Fontaine,02400,Château-Thierry,France,fr,open,49.0467222,3.4001157,,,,2002,payant:7201;gratuit:2926,label:musee de france,
0236102,1418418104,Familistère de Guise,,Cité Familistère,02120,Guise,France,fr,open,49.9045566,3.6252747,,,,2002,payant:19765;gratuit:0,label:musee de france,
0238101,4239502337,Musée - Centre de Documentation Alfred Desmasures,,Impasse du Château,02500,Hirson,France,fr,open,49.9260179,4.0792224,,,,2002,payant:0;gratuit:1303,label:musee de france,
0269101,447567433,Musée Entomologique,,Rue Antoine Lécuyer,02100,Saint-Quentin,France,fr,open,49.8499358,3.2849588,,,,2002,payant:2914;gratuit:9270,label:musee de france,
0281001,2306316571,Musée Alexandre Dumas,,Rue Démoustier,02600,Villers-Cotterêts,France,fr,open,49.2530103,3.0896156,,,,2002,payant:4015;gratuit:0,label:musee de france,
6017601,,Musée de l'Archerie et de l'Art Sacré,,,,CREPY-EN-VALOIS,France,fr,open,,,,,,2002,payant:2272;gratuit:826,label:musee de france,
6066401,,Musée Archéologique de la région de Breteuil,,,,VENDEUIL-CAPLY,France,fr,open,,,,,,2002,payant:7104;gratuit:0,label:musee de france,
8062002,193012404,Musée-Historial de la Grande Guerre,,Rue de la Résistance,80200,Péronne,France,fr,open,49.929138,2.9306000138110875,,,,2002,payant:74312;gratuit:5863,label:musee de france,
1730002,2403784182,Musée du Nouveau Monde,,Rue Fleuriau,17000,La Rochelle,France,fr,open,46.161682,-1.1515984,,,,2002,payant:10490;gratuit:0;label-date:26/05/2002,label:musee de france,
1730003,1445028137,Musée des Beaux-Arts,,Rue Gargoulleau,17000,La Rochelle,France,fr,open,46.1621097,-1.1515809,,,,2002,payant:6711;gratuit:0;label-date:26/05/2002,label:musee de france,
1729902,90818543,Musée de la Maison de Pierre Loti,141,Rue Pierre Loti,17300,Rochefort,France,fr,open,45.934017499999996,-0.9629422086382118,,,,2002,payant:38223;gratuit:0;label-date:28/03/2002,label:musee de france,
1741502,136636544,Musée du Présidial,,Rue André Lemoyne,17100,Saintes,France,fr,open,45.746601749999996,-0.6320098487431683,,,,2002,payant:1195;gratuit:2739,label:musee de france,
8619401,1392914253,Musée Rupert de Chièvres,,Rue Charles Gide,86000,Poitiers,France,fr,open,46.5807401,0.338418,,,,2002,payant:3042;gratuit:381;label-date:06/01/2002,label:musee de france,
8619404,40140547,Musée du baptistère Saint-Jean,,Rue Paschal le Coq,86000,Poitiers,France,fr,open,46.57912245,0.34775441471496493,,,,2002,payant:19423;gratuit:0,label:musee de france,
8619403,40140547,Musée de l'hypogée des Dunes,,Rue Paschal le Coq,86000,Poitiers,France,fr,closed,46.57912245,0.34775441471496493,,,,2002,payant:0;gratuit:0;label-date:06/01/2002,label:musee de france,
0411101,5921065703,Musée de Salagon,,D 13,04300,Mane,France,fr,open,43.9352027,5.7592489,,,,2002,payant:27371;gratuit:6613,label:musee de france,
0602702,63863191,Musée Renoir,,Chemin des Collettes,06800,Cagnes-sur-Mer,France,fr,open,43.667673699999995,7.156948252321393,,,,2002,payant:28901;gratuit:7017,label:musee de france,
0606901,67332571,Villa-Musée Jean-Honoré Fragonard,,Impasse Fragonard,06130,Grasse,France,fr,open,43.656642649999995,6.921149488843463,,,,2002,payant:6060;gratuit:0,label:musee de france,
0608304,1837011704,Musée Jean Cocteau Collection Séverin Wunderman,,Quai de Monléon,06500,Menton,France,fr,open,43.7747355,7.5057931,,,,2002,payant:15777;gratuit:0,label:musee de france,
0608806,1398474011,Muséum d'Histoire Naturelle,60,Boulevard Risso,06300,Nice,France,fr,open,43.7019475,7.2797089,,,,2002,payant:0;gratuit:37296,label:musee de france,
0608804,708311359,Musée d'Art Naïf Anatole Jakovsky,,Avenue du Rond-Point,06206,Nice,France,fr,open,43.685953749999996,7.232618735926904,,,,2002,payant:4120;gratuit:12394,label:musee de france,
0608812,139931873,Musée Matisse,,Avenue des Arènes de Cimiez,06108,Nice,France,fr,open,43.7194,7.276208509997123,,,,2002,payant:108969;gratuit:53554,label:musee de france,
0608813,1949582,Musée d'Art Moderne et d'Art Contemporain,,Place Yves Klein,06300,Nice,France,fr,open,43.701442,7.27822756843373,,,,2002,payant:80497;gratuit:71909,label:musee de france,
0609801,149921556,Ecomusée du Pays de la Roudoule,,Placette de l'Europe,06260,Puget-Rostang,France,fr,open,43.9741388,6.918903152040816,,,,2002,payant:6003;gratuit:2256,label:musee de france,
0616301,769232481,Musée Départemental des Merveilles,,Avenue du 16 Septembre 1947,06430,Tende,France,fr,open,44.0902585,7.5923772,,,,2002,payant:25429;gratuit:0,label:musee de france,
0615901,1297270381,Musées de la Citadelle,,Fossés de la Citadelle,06230,Villefranche-sur-Mer,France,fr,open,43.7017095,7.310623,,,,2002,payant:0;gratuit:55173,label:musee de france,
1300103,34505703,Musée des Tapisseries,,Rue Cardinale,13626,Aix-en-Provence,France,fr,open,43.5254678,5.4526102,,,,2002,payant:10640;gratuit:7400,label:musee de france,
